pm2_5,heating_degree_days,vehicles_per_minute
8.8,7.699999999999999,0.0
10.9,7.1,23.52980126937694
17.1,6.800000000000001,24.110418203593092
16.4,5.9,31.010303083867207
16.5,4.800000000000001,23.907757657283614
15.5,4.1,3.8160911533669477
13.9,3.4000000000000004,94.94507306271072
12.4,3.1999999999999993,227.75302109961135
11.4,2.5999999999999996,183.32248438466632
10.7,1.6000000000000014,189.88755222791607
10.0,1.1000000000000014,115.4609217530735
9.5,0.8000000000000007,85.32349937059365
7.5,0.8999999999999986,110.50955267238349
7.0,3.9000000000000004,111.66095471894793
7.1,5.199999999999999,124.7117122888251
7.8,6.6,77.75549930710234
7.9,7.6,125.46869208030185
7.2,8.5,241.53616915489457
6.6,9.2,234.23610438217355
6.1,9.6,200.64444389829032
5.8,10.1,111.27646937888292
5.5,10.6,97.99953167230655
5.4,10.4,116.76648990737188
5.4,10.2,131.1086448588585
6.5,10.8,16.751095911198746
6.8,11.3,18.349720501559023
7.5,11.0,25.481043581700934
8.1,10.4,8.831476458377976
7.7,9.7,10.673700541273645
7.1,7.9,25.737764121666004
7.1,6.4,110.56752407439127
7.3,3.8000000000000007,193.97285497064559
7.3,3.0999999999999996,202.9850051216942
8.0,2.0999999999999996,224.06050904780116
8.2,2.5999999999999996,80.04085505662341
8.1,2.8000000000000007,96.4923481751655
15.1,3.0999999999999996,105.12759463535522
14.0,3.8000000000000007,63.857308495024526
13.7,5.4,116.43043514831373
13.8,6.800000000000001,47.906948980784904
12.6,7.800000000000001,82.57044748014768
10.7,9.0,255.3105135714387
9.5,9.6,248.26516497810627
9.3,10.2,232.82003404303288
9.6,10.8,84.18612440309882
10.0,11.3,109.27372670615757
10.4,11.8,135.32507032961013
10.7,12.1,85.37609267463776
9.7,12.1,2.8453499014110477
10.5,11.2,28.266050367254987
10.6,9.9,12.70412444409098
10.2,8.2,12.916439992186955
9.4,6.4,36.370946027221216
8.1,5.699999999999999,19.89553308397777
6.6,5.1,130.81451324922196
5.2,5.1,219.54646591764185
4.0,4.6,229.25310833661436
3.1,3.9000000000000004,193.69570629473594
2.4,3.5999999999999996,101.86559229987007
1.9,3.1999999999999993,83.03564718871385
5.2,4.1,105.90300897743478
6.0,3.9000000000000004,108.23624722570419
6.9,4.6,107.96481398213999
8.5,4.9,113.81933905639912
9.6,5.1,88.58885110660026
9.6,5.6,217.44810825758782
8.9,6.1,197.0094826525204
